postcode,suburb,state
3067,Abbotsford,VIC
3040,Aberfeldie,VIC
3042,Airport West,VIC
3021,Albanvale,VIC
3206,Albert Park,VIC
3350,Alfredton,VIC
3025,Altona North,VIC
3022,Ardeer,VIC
3143,Armadale,VIC
3551,Ascot,VIC
3032,Ascot Vale,VIC
3147,Ashburton,VIC
3147,Ashwood,VIC
3195,Aspendale Gardens,VIC
3195,Aspendale,VIC
3049,Attwood,VIC
3034,Avondale Heights,VIC
3782,Avonsleigh,VIC
3354,Bakery Hill,VIC
3183,Balaclava,VIC
3350,Ballarat Central,VIC
3350,Ballarat East,VIC
3350,Ballarat North,VIC
3103,Balwyn,VIC
3175,Bangholme,VIC
3153,Bayswater North,VIC
3153,Bayswater,VIC
3807,Beaconsfield,VIC
3193,Beaumaris,VIC
3160,Belgrave Heights,VIC
3160,Belgrave,VIC
3215,Bell Park,VIC
3215,Bell Post Hill,VIC
3381,Bellfield,VIC
3216,Belmont,VIC
3552,Bendigo,VIC
3165,Bentleigh East,VIC
3204,Bentleigh,VIC
3806,Berwick,VIC
3918,Bittern,VIC
3193,Black Rock,VIC
3130,Blackburn North,VIC
3130,Blackburn South,VIC
3130,Blackburn,VIC
3942,Blairgowrie,VIC
3196,Bonbeach,VIC
3155,Boronia,VIC
3129,Box Hill North,VIC
3128,Box Hill South,VIC
3019,Braybrook,VIC
3088,Briar Hill,VIC
3187,Brighton East,VIC
3186,Brighton,VIC
3047,Broadmeadows,VIC
3057,Brunswick East,VIC
3056,Brunswick,VIC
3055,Brunswick West,VIC
3083,Bundoora,VIC
3357,Buninyong,VIC
3121,Burnley,VIC
3023,Burnside Heights,VIC
3151,Burwood East,VIC
3125,Burwood,VIC
3023,Cairnlea,VIC
3124,Camberwell,VIC
3126,Canterbury,VIC
3054,Carlton North,VIC
3053,Carlton,VIC
3163,Carnegie,VIC
3201,Carrum Downs,VIC
3197,Carrum,VIC
3145,Caulfield East,VIC
3162,Caulfield South,VIC
3162,Caulfield,VIC
3148,Chadstone,VIC
3192,Cheltenham,VIC
3116,Chirnside Park,VIC
3168,Clayton,VIC
3782,Clematis,VIC
3068,Clifton Hill,VIC
3058,Coburg North,VIC
3781,Cockatoo,VIC
3770,Coldstream,VIC
3066,Collingwood,VIC
3214,Corio,VIC
3064,Craigieburn,VIC
3977,Cranbourne South,VIC
3977,Cranbourne,VIC
3977,Cranbourne West,VIC
3136,Croydon North,VIC
3136,Croydon,VIC
3047,Dallas,VIC
3175,Dandenong North,VIC
3175,Dandenong,VIC
3023,Deer Park,VIC
3356,Delacombe,VIC
3037,Delahey,VIC
3977,Devon Meadows,VIC
3089,Diamond Creek,VIC
3172,Dingley Village,VIC
3008,Docklands,VIC
3109,Doncaster East,VIC
3108,Doncaster,VIC
3111,Donvale,VIC
3754,Doreen,VIC
3177,Doveton,VIC
3936,Dromana,VIC
3215,Drumcondra,VIC
3556,Eaglehawk,VIC
3084,Eaglemont,VIC
3550,East Bendigo,VIC
3219,East Geelong,VIC
3002,East Melbourne,VIC
3196,Edithvale,VIC
3095,Eltham,VIC
3184,Elwood,VIC
3782,Emerald,VIC
